Timestamp,Container,CPU%
2025-04-24 17:52:37,user-10.9.0.5,0.00%
2025-04-24 17:52:37,edu-10.9.0.60,0.00%
2025-04-24 17:52:37,spare-edu-10.9.0.66,0.00%
2025-04-24 17:52:37,local-dns-10.9.0.53,0.62%
2025-04-24 17:52:37,root-10.9.0.30,0.00%
2025-04-24 17:52:37,example-edu-10.9.0.65,0.00%
2025-04-24 17:52:41,user-10.9.0.5,0.01%
2025-04-24 17:52:41,edu-10.9.0.60,0.00%
2025-04-24 17:52:41,spare-edu-10.9.0.66,0.00%
2025-04-24 17:52:41,local-dns-10.9.0.53,0.62%
2025-04-24 17:52:41,root-10.9.0.30,0.00%
2025-04-24 17:52:41,example-edu-10.9.0.65,0.00%
2025-04-24 17:52:44,user-10.9.0.5,0.00%
2025-04-24 17:52:44,edu-10.9.0.60,0.00%
2025-04-24 17:52:44,spare-edu-10.9.0.66,0.00%
2025-04-24 17:52:44,local-dns-10.9.0.53,0.62%
2025-04-24 17:52:44,root-10.9.0.30,0.00%
2025-04-24 17:52:44,example-edu-10.9.0.65,0.00%
2025-04-24 17:52:48,user-10.9.0.5,0.00%
2025-04-24 17:52:48,edu-10.9.0.60,0.00%
2025-04-24 17:52:48,spare-edu-10.9.0.66,0.00%
2025-04-24 17:52:48,local-dns-10.9.0.53,0.62%
2025-04-24 17:52:48,root-10.9.0.30,0.00%
2025-04-24 17:52:48,example-edu-10.9.0.65,0.00%
2025-04-24 17:52:52,user-10.9.0.5,0.00%
2025-04-24 17:52:52,edu-10.9.0.60,0.00%
2025-04-24 17:52:52,spare-edu-10.9.0.66,0.01%
2025-04-24 17:52:52,local-dns-10.9.0.53,0.62%
2025-04-24 17:52:52,root-10.9.0.30,0.00%
2025-04-24 17:52:52,example-edu-10.9.0.65,0.00%
2025-04-24 17:52:58,user-10.9.0.5,0.00%
2025-04-24 17:52:58,edu-10.9.0.60,0.00%
2025-04-24 17:52:58,spare-edu-10.9.0.66,0.00%
2025-04-24 17:52:58,local-dns-10.9.0.53,0.62%
2025-04-24 17:52:58,root-10.9.0.30,0.00%
2025-04-24 17:52:58,example-edu-10.9.0.65,0.00%
2025-04-24 17:53:01,user-10.9.0.5,0.00%
2025-04-24 17:53:01,edu-10.9.0.60,0.00%
2025-04-24 17:53:01,spare-edu-10.9.0.66,0.00%
2025-04-24 17:53:01,local-dns-10.9.0.53,0.62%
2025-04-24 17:53:01,root-10.9.0.30,0.00%
2025-04-24 17:53:01,example-edu-10.9.0.65,0.00%
2025-04-24 17:53:05,user-10.9.0.5,0.00%
2025-04-24 17:53:05,edu-10.9.0.60,0.00%
2025-04-24 17:53:05,spare-edu-10.9.0.66,0.00%
2025-04-24 17:53:05,local-dns-10.9.0.53,0.62%
2025-04-24 17:53:05,root-10.9.0.30,0.00%
2025-04-24 17:53:05,example-edu-10.9.0.65,0.00%
2025-04-24 17:53:08,user-10.9.0.5,0.00%
2025-04-24 17:53:08,edu-10.9.0.60,0.00%
2025-04-24 17:53:08,spare-edu-10.9.0.66,0.00%
2025-04-24 17:53:08,local-dns-10.9.0.53,0.62%
2025-04-24 17:53:08,root-10.9.0.30,0.00%
2025-04-24 17:53:08,example-edu-10.9.0.65,0.00%
2025-04-24 17:53:12,user-10.9.0.5,0.00%
2025-04-24 17:53:12,edu-10.9.0.60,0.00%
2025-04-24 17:53:12,spare-edu-10.9.0.66,0.00%
2025-04-24 17:53:12,local-dns-10.9.0.53,0.62%
2025-04-24 17:53:12,root-10.9.0.30,0.00%
2025-04-24 17:53:12,example-edu-10.9.0.65,0.00%
